timestamp,open,high,low,close
1970-01-02,100,100,100,100
1970-01-05,99.99,99.99,99.99,99.99
1970-01-06,100.37,100.37,100.37,100.37
1970-01-07,100.74,100.74,100.74,100.74
1970-01-08,101.26,101.26,101.26,101.26
1970-01-09,100.74,100.74,100.74,100.74
1970-01-12,100.79,100.79,100.79,100.79
1970-01-13,101.27,101.27,101.27,101.27
1970-01-14,101.95,101.95,101.95,101.95
1970-01-15,101.97,101.97,101.97,101.97
1970-01-16,101.76,101.76,101.76,101.76
1970-01-19,102.21,102.21,102.21,102.21
1970-01-20,102.7,102.7,102.7,102.7
1970-01-21,102,102,102,102
1970-01-22,101.46,101.46,101.46,101.46
1970-01-23,101.49,101.49,101.49,101.49
1970-01-26,100.97,100.97,100.97,100.97
1970-01-27,101.45,101.45,101.45,101.45
1970-01-28,101.7,101.7,101.7,101.7
1970-01-29,102.08,102.08,102.08,102.08
1970-01-30,102.19,102.19,102.19,102.19
1970-02-02,102.02,102.02,102.02,102.02
1970-02-03,101.85,101.85,101.85,101.85
1970-02-04,101.69,101.69,101.69,101.69
1970-02-05,101.69,101.69,101.69,101.69
1970-02-06,101.66,101.66,101.66,101.66
1970-02-09,102.64,102.64,102.64,102.64
1970-02-10,102.56,102.56,102.56,102.56
1970-02-11,103.26,103.26,103.26,103.26
1970-02-12,103.06,103.06,103.06,103.06
1970-02-13,103.16,103.16,103.16,103.16
1970-02-16,103.58,103.58,103.58,103.58
1970-02-17,103.08,103.08,103.08,103.08
1970-02-18,103.5,103.5,103.5,103.5
1970-02-19,103.74,103.74,103.74,103.74
1970-02-20,104.29,104.29,104.29,104.29
1970-02-24,104.54,104.54,104.54,104.54
1970-02-25,104.03,104.03,104.03,104.03
1970-02-26,104.22,104.22,104.22,104.22
1970-02-27,104.37,104.37,104.37,104.37
1970-03-02,103.98,103.98,103.98,103.98
1970-03-03,104.71,104.71,104.71,104.71
1970-03-04,105.19,105.19,105.19,105.19
1970-03-05,106.09,106.09,106.09,106.09
1970-03-06,105.93,105.93,105.93,105.93
1970-03-09,105.81,105.81,105.81,105.81
1970-03-10,105.77,105.77,105.77,105.77
1970-03-11,106.83,106.83,106.83,106.83
1970-03-12,106.34,106.34,106.34,106.34
1970-03-13,105.95,105.95,105.95,105.95
1970-03-16,106.33,106.33,106.33,106.33
1970-03-17,105.5,105.5,105.5,105.5
1970-03-18,105.94,105.94,105.94,105.94
1970-03-19,106.05,106.05,106.05,106.05
1970-03-20,105.93,105.93,105.93,105.93
1970-03-23,105.34,105.34,105.34,105.34
1970-03-24,104.77,104.77,104.77,104.77
1970-03-25,105.19,105.19,105.19,105.19
1970-03-26,105.57,105.57,105.57,105.57
1970-03-30,104.84,104.84,104.84,104.84
1970-03-31,104.69,104.69,104.69,104.69
1970-04-01,104.26,104.26,104.26,104.26
1970-04-02,104.57,104.57,104.57,104.57
1970-04-03,104.79,104.79,104.79,104.79
1970-04-06,104.72,104.72,104.72,104.72
1970-04-07,104.94,104.94,104.94,104.94
1970-04-08,104.41,104.41,104.41,104.41
1970-04-09,103.03,103.03,103.03,103.03
1970-04-10,102.39,102.39,102.39,102.39
1970-04-13,102.36,102.36,102.36,102.36
1970-04-14,101.64,101.64,101.64,101.64
1970-04-15,102.04,102.04,102.04,102.04
1970-04-16,102.36,102.36,102.36,102.36
1970-04-17,102.27,102.27,102.27,102.27
1970-04-20,102.1,102.1,102.1,102.1
1970-04-21,102,102,102,102
1970-04-22,102.08,102.08,102.08,102.08
1970-04-23,102.63,102.63,102.63,102.63
1970-04-24,103.65,103.65,103.65,103.65
1970-04-27,103.68,103.68,103.68,103.68
1970-04-28,103.24,103.24,103.24,103.24
1970-04-29,102.48,102.48,102.48,102.48
1970-04-30,102.53,102.53,102.53,102.53
1970-05-01,102.2,102.2,102.2,102.2
1970-05-04,101.3,101.3,101.3,101.3
1970-05-05,101.13,101.13,101.13,101.13
1970-05-06,100.93,100.93,100.93,100.93
1970-05-07,101.72,101.72,101.72,101.72
1970-05-08,102.05,102.05,102.05,102.05
1970-05-11,101.93,101.93,101.93,101.93
1970-05-12,101.72,101.72,101.72,101.72
1970-05-13,102.11,102.11,102.11,102.11
1970-05-14,100.84,100.84,100.84,100.84
1970-05-15,101.16,101.16,101.16,101.16
1970-05-18,101.72,101.72,101.72,101.72
1970-05-19,101.42,101.42,101.42,101.42
1970-05-20,101.33,101.33,101.33,101.33
1970-05-21,102.06,102.06,102.06,102.06
1970-05-22,102.01,102.01,102.01,102.01
1970-05-25,99.98,99.98,99.98,99.98
1970-05-26,98.92,98.92,98.92,98.92
1970-05-27,99.9,99.9,99.9,99.9
1970-05-28,99.43,99.43,99.43,99.43
1970-06-01,100.3,100.3,100.3,100.3
1970-06-02,99.72,99.72,99.72,99.72
1970-06-03,100.09,100.09,100.09,100.09
1970-06-04,100.72,100.72,100.72,100.72
1970-06-05,100.46,100.46,100.46,100.46
1970-06-08,100.56,100.56,100.56,100.56
1970-06-09,101.03,101.03,101.03,101.03
1970-06-10,101.6,101.6,101.6,101.6
1970-06-11,102.19,102.19,102.19,102.19
1970-06-12,102.39,102.39,102.39,102.39
1970-06-15,102,102,102,102
1970-06-16,102.95,102.95,102.95,102.95
1970-06-17,102.61,102.61,102.61,102.61
1970-06-18,102.76,102.76,102.76,102.76
1970-06-19,102.69,102.69,102.69,102.69
1970-06-22,102.94,102.94,102.94,102.94
1970-06-23,102.97,102.97,102.97,102.97
1970-06-24,103.33,103.33,103.33,103.33
1970-06-25,104.63,104.63,104.63,104.63
1970-06-26,104.73,104.73,104.73,104.73
1970-06-29,105.51,105.51,105.51,105.51
1970-06-30,105.54,105.54,105.54,105.54
1970-07-01,104.79,104.79,104.79,104.79
1970-07-02,104.89,104.89,104.89,104.89
1970-07-06,104.62,104.62,104.62,104.62
1970-07-07,103.97,103.97,103.97,103.97
1970-07-08,104.17,104.17,104.17,104.17
1970-07-09,103.6,103.6,103.6,103.6
1970-07-10,103.06,103.06,103.06,103.06
1970-07-13,102.18,102.18,102.18,102.18
1970-07-14,101.05,101.05,101.05,101.05
1970-07-15,101.44,101.44,101.44,101.44
1970-07-16,101.51,101.51,101.51,101.51
1970-07-17,101.35,101.35,101.35,101.35
