timestamp,open,high,low,close
1970-01-02,100,100,100,100
1970-01-05,100.06,100.06,100.06,100.06
1970-01-06,100.46,100.46,100.46,100.46
1970-01-07,100.67,100.67,100.67,100.67
1970-01-08,101.01,101.01,101.01,101.01
1970-01-09,100.31,100.31,100.31,100.31
1970-01-12,100.21,100.21,100.21,100.21
1970-01-13,100.48,100.48,100.48,100.48
1970-01-14,101.17,101.17,101.17,101.17
1970-01-15,101.22,101.22,101.22,101.22
1970-01-16,101.03,101.03,101.03,101.03
1970-01-19,101.54,101.54,101.54,101.54
1970-01-20,102.06,102.06,102.06,102.06
1970-01-21,101.38,101.38,101.38,101.38
1970-01-22,100.87,100.87,100.87,100.87
1970-01-23,100.92,100.92,100.92,100.92
1970-01-26,100.47,100.47,100.47,100.47
1970-01-27,100.96,100.96,100.96,100.96
1970-01-28,101.23,101.23,101.23,101.23
1970-01-29,101.64,101.64,101.64,101.64
1970-01-30,101.78,101.78,101.78,101.78
1970-02-02,101.67,101.67,101.67,101.67
1970-02-03,101.52,101.52,101.52,101.52
1970-02-04,101.38,101.38,101.38,101.38
1970-02-05,101.41,101.41,101.41,101.41
1970-02-06,101.45,101.45,101.45,101.45
1970-02-09,102.53,102.53,102.53,102.53
1970-02-10,102.53,102.53,102.53,102.53
1970-02-11,103.32,103.32,103.32,103.32
1970-02-12,103.25,103.25,103.25,103.25
1970-02-13,103.37,103.37,103.37,103.37
1970-02-16,103.85,103.85,103.85,103.85
1970-02-17,103.37,103.37,103.37,103.37
1970-02-18,103.81,103.81,103.81,103.81
1970-02-19,104.07,104.07,104.07,104.07
1970-02-20,104.64,104.64,104.64,104.64
1970-02-24,104.97,104.97,104.97,104.97
1970-02-25,104.48,104.48,104.48,104.48
1970-02-26,104.69,104.69,104.69,104.69
1970-02-27,104.86,104.86,104.86,104.86
1970-03-02,104.53,104.53,104.53,104.53
1970-03-03,105.29,105.29,105.29,105.29
1970-03-04,105.79,105.79,105.79,105.79
1970-03-05,106.72,106.72,106.72,106.72
1970-03-06,106.66,106.66,106.66,106.66
1970-03-09,106.69,106.69,106.69,106.69
1970-03-10,106.78,106.78,106.78,106.78
1970-03-11,107.99,107.99,107.99,107.99
1970-03-12,107.66,107.66,107.66,107.66
1970-03-13,107.29,107.29,107.29,107.29
1970-03-16,107.74,107.74,107.74,107.74
1970-03-17,106.92,106.92,106.92,106.92
1970-03-18,107.39,107.39,107.39,107.39
1970-03-19,107.52,107.52,107.52,107.52
1970-03-20,107.42,107.42,107.42,107.42
1970-03-23,106.89,106.89,106.89,106.89
1970-03-24,106.32,106.32,106.32,106.32
1970-03-25,106.77,106.77,106.77,106.77
1970-03-26,107.18,107.18,107.18,107.18
1970-03-30,106.51,106.51,106.51,106.51
1970-03-31,106.38,106.38,106.38,106.38
1970-04-01,105.95,105.95,105.95,105.95
1970-04-02,106.29,106.29,106.29,106.29
1970-04-03,106.53,106.53,106.53,106.53
1970-04-06,106.51,106.51,106.51,106.51
1970-04-07,107.03,107.03,107.03,107.03
1970-04-08,106.77,106.77,106.77,106.77
1970-04-09,105.64,105.64,105.64,105.64
1970-04-10,105.26,105.26,105.26,105.26
1970-04-13,105.55,105.55,105.55,105.55
1970-04-14,104.83,104.83,104.83,104.83
1970-04-15,105.25,105.25,105.25,105.25
1970-04-16,105.61,105.61,105.61,105.61
1970-04-17,105.53,105.53,105.53,105.53
1970-04-20,105.42,105.42,105.42,105.42
1970-04-21,105.33,105.33,105.33,105.33
1970-04-22,105.43,105.43,105.43,105.43
1970-04-23,106.02,106.02,106.02,106.02
1970-04-24,107.09,107.09,107.09,107.09
1970-04-27,107.18,107.18,107.18,107.18
1970-04-28,106.74,106.74,106.74,106.74
1970-04-29,105.98,105.98,105.98,105.98
1970-04-30,106.05,106.05,106.05,106.05
1970-05-01,105.73,105.73,105.73,105.73
1970-05-04,104.86,104.86,104.86,104.86
1970-05-05,104.71,104.71,104.71,104.71
1970-05-06,104.52,104.52,104.52,104.52
1970-05-07,105.25,105.25,105.25,105.25
1970-05-08,105.51,105.51,105.51,105.51
1970-05-11,105.41,105.41,105.41,105.41
1970-05-12,105.1,105.1,105.1,105.1
1970-05-13,105.36,105.36,105.36,105.36
1970-05-14,104.08,104.08,104.08,104.08
1970-05-15,104.42,104.42,104.42,104.42
1970-05-18,105.06,105.06,105.06,105.06
1970-05-19,104.77,104.77,104.77,104.77
1970-05-20,104.7,104.7,104.7,104.7
1970-05-21,105.47,105.47,105.47,105.47
1970-05-22,105.44,105.44,105.44,105.44
1970-05-25,103.4,103.4,103.4,103.4
1970-05-26,102.33,102.33,102.33,102.33
1970-05-27,103.37,103.37,103.37,103.37
1970-05-28,102.9,102.9,102.9,102.9
1970-06-01,103.88,103.88,103.88,103.88
1970-06-02,103.3,103.3,103.3,103.3
1970-06-03,103.7,103.7,103.7,103.7
1970-06-04,104.38,104.38,104.38,104.38
1970-06-05,104.2,104.2,104.2,104.2
1970-06-08,104.44,104.44,104.44,104.44
1970-06-09,105.01,105.01,105.01,105.01
1970-06-10,105.67,105.67,105.67,105.67
1970-06-11,106.33,106.33,106.33,106.33
1970-06-12,106.55,106.55,106.55,106.55
1970-06-15,106.21,106.21,106.21,106.21
1970-06-16,107.21,107.21,107.21,107.21
1970-06-17,106.89,106.89,106.89,106.89
1970-06-18,107.06,107.06,107.06,107.06
1970-06-19,107.01,107.01,107.01,107.01
1970-06-22,107.32,107.32,107.32,107.32
1970-06-23,107.38,107.38,107.38,107.38
1970-06-24,107.77,107.77,107.77,107.77
1970-06-25,109.14,109.14,109.14,109.14
1970-06-26,109.28,109.28,109.28,109.28
1970-06-29,110.15,110.15,110.15,110.15
1970-06-30,110.2,110.2,110.2,110.2
1970-07-01,109.43,109.43,109.43,109.43
1970-07-02,109.56,109.56,109.56,109.56
1970-07-06,109.36,109.36,109.36,109.36
1970-07-07,109.44,109.44,109.44,109.44
